EVTDESC_ZE_22420;During a particularly heated argument in the council, you stepped in as [From.GetBestName] was making a fool of [From.GetHerselfHimself]. You managed to soothe the debaters and win the argument for [From.GetHerHim]. Though this only infuriated [From.GetHerHim], as [From.GetSheHe] wanted to win the argument by [From.GetHerHis] own means! Throwing a tantrum like this has publicly shamed [From.GetFirstName].;Lors d'une discussion particulièrement houleuse au Conseil, vous avez pris le relais alors que [From.Get_only_le_Title][From.GetBestName] se ridiculisait. Vous avez ainsi réussi à apaiser le débat et fait valoir sa position, mais [From.GetIlElle] est néanmoins de mauvaise humeur. [From.GetIlElleCap] voulait convaincre le monde de son propre chef ! Pareille crise en public a jeté l'opprobre sur [From.GetFirstName].;Während einer besonders hitzigen Debatte im Rat konntet Ihr [From.GetBestName] davor bewahren, sich zum Narren zu machen. Ihr konntet alle Beteiligten beschwichtigen und die Streitfrage zu Gunsten von [From.GetBestName] entscheiden. Dies erzürnte [From.GetBestName] jedoch, da [From.GetSheHe] die Debatte selbst für sich entscheiden wollte! Dieser Wutanfall machte [From.GetFirstName] in aller Öffentlichkeit zum Gespött.;;Durante una acalorada discusión en el consejo, interviniste cuando[From.GetBestName] estaba a punto de ponerse [From.GetHerselfHimself] en ridículo. Has conseguido de calmar a los polemistas y ganar el argumento para [From.GetHerHim]. ¡Aunque esto sólo [From.GetHerHim] enfureció, pues [From.GetSheHe] quería ganar la discusión por [From.GetHerHis] propios medios! Montar tal berrinche este ha avergonzado públicamente a [From.GetFirstName]. ;;;;;;;;;x
EVTDESC_ZE_22500;As the council meeting ends, [target_pious_voter.GetTitledFirstName] pulls you to the side. [target_pious_voter.GetSheHeCap] talks to you at length about the need to respect the authority of [Root.Religion.GetScriptureName] when making decisions in the council. Apparently the council is in agreement on you having neglected to do so, but fortunately [target_pious_voter.GetFirstName] offers to help you!;À la fin de la réunion du Conseil, [target_pious_voter.Get_le_TitledFirstName] vous prend en aparté. [target_pious_voter.GetIlElleCap] vous parle longuement de la nécessité de prendre en compte [Root.Get_le_Scripture] lors de la prise de décision. Apparemment, le Conseil s'accorde à dire que vous avez négligé de le faire, mais heureusement [target_pious_voter.GetFirstName] vous offre son aide !;Nach dem Ende der Ratssitzung nimmt Euch [target_pious_voter.GetTitledFirstName] beiseite. [Root.Religion.GetScriptureName], so erläutert [target_pious_voter.GetSheHe] ausführlich, sei eine Autorität und müsse bei allen Ratsentscheidungen berücksichtigt werden. Offenbar stößt sich der Rat nicht an Eurem Versäumnis, doch glücklicherweise bietet [target_pious_voter.GetFirstName] Euch Hilfe an!;;Durante la reunión del consejo, [target_pious_voter.GetTitledFirstName] te echa a un lado. [target_pious_voter.GetSheHeCap] te habla largamente sobre la necesidad de respetar la autoridad del [Root.Religion.GetScriptureName] al tomar decisiones en el consejo. Al parecer el Consejo está de acuerdo en que lo has descuidado, ¡pero afortunadamente [target_pious_voter.GetFirstName] se ofrece a ayudarte!;;;;;;;;;x
EVTDESC_ZE_22510;The council agreed that [From.GetBestName] had been acting in a very impious way, ignoring many wisdoms of [Root.Religion.GetScriptureName]. Being a pious [Root.GetManWoman] you decided to help [From.GetHerHim] not repeat the same mistakes. [From.GetFirstName] was very grateful for this help, and told you that [From.GetSheHe] was in your debt!;Le Conseil s'accorde à dire que [From.Get_only_le_Title][From.GetBestName] agit de façon particulièrement impie, ignorant la sagesse de ce qui est écrit dans [Root.Get_le_Scripture]. La piété étant votre fort, vous décidez de l'aider à ne pas refaire les mêmes erreurs. [From.GetFirstName] vous en est très reconnaissant et vous dit avoir une dette à votre égard !;Der Rat bestätigte, dass [From.GetBestName] sich äußerst pietätlos verhalten hatte. [Root.Religion.GetScriptureName] enthalte Weisheiten, die [From.GetSheHe] nicht berücksichtigt hatte. Da Ihr fromm seid, habt Ihr beschlossen, [From.Getihmihr] zu helfen. [From.GetSheHeCap] zeigte sich dankbar dafür und ließ Euch wissen, fortan in Eurer Schuld zu stehen!;;El Consejo acordó que [From.GetBestName] había estado actuando de una manera muy poco pía, haciendo caso omiso de la mucha sabiduría de [Root.Religion.GetScriptureName]. Siendo un/a [Root.GetManWoman] tan piadoso/a, decidiste ayudar[From.GetHerHim] a no repetir los mismos errores. ¡[From.GetFirstName] quedó muy agradecido por esta ayuda y dijo que [From.GetSheHe] quedaba en deuda!;;;;;;;;;x
EVTDESC_ZE_22520;The council agreed that [From.GetBestName] had been acting in a very impious way, ignoring many wisdoms of [Root.Religion.GetScriptureName]. Being a pious [Root.GetManWoman] you decided to help [From.GetHerHim] not repeat the same mistake. Though, [From.GetFirstName] was infuriated by what [From.GetSheHe] assumed to be you trying to trick [From.GetHerHim]!;Le Conseil s'accorde à dire que [From.Get_only_le_Title][From.GetBestName] agit de façon particulièrement impie, ignorant la sagesse de ce qui est écrit dans [Root.Get_le_Scripture]. La piété étant votre fort, vous décidez de l'aider à ne pas refaire les mêmes erreurs. Cependant, [From.GetFirstName] rentre dans une colère noire, pensant que vous essayez d'en tirer un avantage quelconque.;Der Rat bestätigte, dass [From.GetBestName] sich äußerst pietätlos verhalten hatte. [Root.Religion.GetScriptureName] enthalte nämlich viele Weisheiten, die von [From.GetBestName] nicht berücksichtigt wurden. Da Ihr ein frommer Mensch seid, habt Ihr beschlossen, [From.GetBestName] dabei zu helfen, diesen Fehler nicht zu wiederholen. Dies erzürnte [From.GetBestName] jedoch aufs Äußerste, da [From.GetSheHe] Eure wahren Absichten in Frage stellte!;;El Consejo acordó que [From.GetBestName] había estado actuando de una manera muy poco pía haciendo caso omiso de la mucha sabiduría de [Root.Religion.GetScriptureName]. Siendo un/a [Root.GetManWoman] tan piadoso/a, decidiste ayudar[From.GetHerHim] a no repetir al mismo error. Sin embargo, [From.GetFirstName] se enfureció porque [From.GetSheHe] asumió que tratabas de engañar[From.GetHerHim]!;;;;;;;;;x
EVTDESC_ZE_22600;Word has reached you of a [target_foreign_voter.GetJobTitle] in a foreign realm who is of masterful skill and handles [target_foreign_voter.GetHerHis] tasks with ease. Seeing as your own abilities are often doubted by the rest of the Council, perhaps you should write a letter to this '[target_foreign_voter.GetBestName]' and ask for [target_foreign_voter.GetHerHis] advice?;Vous avez entendu une rumeur comme quoi [target_foreign_voter.GetJobTitle][target_foreign_voter.GetJobTitle] d'un royaume étranger disposait d'un grand talent pour accomplir ses tâches. Avec le Conseil remettant sans cesse vos décisions en doute, peut-être devriez-vous écrire une lettre [target_foreign_voter.Get_only_au_Title][target_foreign_voter.GetBestName] et lui demander quelques conseils.;Ihr habt Kunde über eine talentierte Person in einem fremden Reich erhalten, die dort [target_foreign_voter.GetJobTitle] ist und ihr Handwerk perfekt beherrscht. Da Eure eigenen Fertigkeiten oft vom Rat in Frage gestellt werden, solltet Ihr vielleicht einen Brief an [target_foreign_voter.GetBestName] verfassen und um Rat bitten?;;Te has enterado de un [target_foreign_voter.GetJobTitle] en un reino extranjero que es de habilidad magistral y resuelve [target_foreign_voter.GetHerHis] tareas con facilidad. Viendo como a menudo el resto Consejo duda de tus propias habilidades, ¿quizás debería escribir una carta a este '[target_foreign_voter.GetBestName]' y pedir [target_foreign_voter.GetHerHis] consejo?;;;;;;;;;x
EVTDESC_ZE_22610;To the masterful [Root.GetTitledFirstName],\nI am [From.GetTitledFirstName], [From.GetJobTitle] of [From.Liege.GetTitledFirstName].\nYour skill as a [Root.GetJobTitle] on the Council of [Root.Liege.GetTitledFirstName] is known far and wide. I implore you to advise me in matters of politics, so that I may serve my liege as admirably as you serve yours.\n\nRegards,\n[From.GetTitledName];Magistral[Root.Get_E] [Root.GetTitledFirstName],\nVotre talent en tant qu[Root.Get_e_JobTitle] au Conseil [Root.Liege.Get_du_TitledFirstName] est connu dans le monde entier. Je vous implore de bien vouloir me conseiller en matière de politique, afin que je puisse servir mon seigneur aussi admirablement que vous servez le vôtre.\n\nCordialement,\n [From.GetTitledFirstName], [From.GetJobTitle] [From.Liege.Get_du_TitledFirstName];[Root.GetTitledFirstName],\nich bin [From.GetTitledFirstName], [From.GetJobTitle] von [From.Liege.GetTitledFirstName].\nEure Fertigkeiten als [Root.GetJobTitle] im Rat von [Root.Liege.GetTitledFirstName] finden weit über die Grenzen hinaus Bewunderung. Ich ersuche Euren Ratschlag in politischen Angelegenheiten, damit ich meinem Lehnsherr ebenso vortrefflich dienen kann wie Ihr dem Euren.\n\nHochachtungsvoll,\n[From.GetTitledName];;Al maestro/ A la maestra [Root.GetTitledFirstName],\n\n soy [From.GetTitledFirstName], [From.GetJobTitle] de [From.Liege.GetTitledFirstName].\nTu habilidad como [Root.GetJobTitle] en el Consejo de [Root.Liege.GetTitledFirstName] es ampliamente conocida. Te imploro me aconsejes en asuntos de política, de modo que pueda servir a mi señor tan admirablemente como sirves al tuyo.\n\nSaludos,\n[From.GetTitledName];;;;;;;;;x
EVTDESC_ZE_22620;To the [GetFromRootCompliment] [Root.GetFirstName],\n\nI agree to lend you advice on how to serve on the Council more effectively. Along with this letter I have enclosed a book which treatise my own experience as a [From.GetJobTitle], I hope its contents will serve you well!\n\nRegards,\n[From.GetTitledName];[Root.GetFirstName], [GetFromRootComplimentNounAdj],\n\nJ'accepte de vous donner des conseils sur la façon de mieux servir votre Conseil. J'ai joint à cette lettre un livre qui résume ma propre expérience d[From.Get_e_JobTitle], j'espère que son contenu vous sera utile !\n\nCordialement,\n[From.GetTitledName];[Root.GetFirstName],\n\nich möchte Euch gerne dabei unterstützen, Eurem Rat besser dienen zu können. Deshalb lege ich diesem Brief ein Buch bei, das von meinen eigenen Erfahrungen als [From.GetJobTitle] handelt. Ich hoffe, es wird Euch gute Dienste leisten!\n\nHochachtungsvoll,\n[From.GetTitledName];;Para el [GetFromRootCompliment] [Root.GetFirstName],\n\nEstoy de acuerdo en darte consejo sobre cómo servir más eficazmente en el Consejo. Junto con esta carta he incluido un libro que trata sobre mi propia experiencia como [From.GetJobTitle], ¡Espero que su contenido te preste un buen servicio!\n\nSaludos,\n[From.GetTitledName] ;;;;;;;;;x
EVTDESC_ZE_22630;To the [GetFromRootInsult] [Root.GetFirstName],\n\nDo you really think I would convey my secrets to you? You are a pathetic [From.GetJobTitle] and I do not see that changing soon!\n\nSincerely,\n[From.GetTitledName];À [Root.GetFirstName] [Root.GetLeLa] [GetFromRootInsultNounAdj],\n\nPensez-vous vraiment que je vais vous livrer mes secrets ? En tant qu[From.Get_e_JobTitle], vous êtes pathétique et ce n'est pas près de changer !\n\nCordialement,\n[From.GetTitledName];[Root.GetFirstName],\ndenkt Ihr wirklich, ich würde meine Geheimnisse mit Euch teilen? Als [From.GetJobTitle] gebt Ihr eine armselige Figur ab, und das wird sich auch so schnell nicht ändern!\n\nHochachtungsvoll,\n[From.GetTitledName];;Para [GetFromRootInsult] [Root.GetFirstName],\n\n¿De verdad crees que te voy a contar mis secretos? ¡Eres un [From.GetJobTitle] patético y no veo que eso cambie pronto!\n\nSinceramente,\n;;;;;;;;;x
EVTDESC_ZE_22640;To the [GetFromRootCompliment] [Root.GetFirstName],\n\nKnow that I will never forget what you did for me! Please do not hesitate to ask if there is anything I can do for you, and know I will treat you like the dearest of friends.\n\nSincerely,\n[From.GetTitledName];[Root.GetFirstName], [GetFromRootComplimentNounAdj],\n\nSachez que je n'oublierai jamais ce que vous avez fait pour moi ! Si je peux vous rendre la pareille, n'hésitez pas à le demander. Je vous réserve un traitement que je n'accorde qu'aux plus proches de mes amis.\n\nCordialement,\n[From.GetTitledName];[Root.GetFirstName],\nich werde Euch niemals vergessen, was Ihr für mich getan habt! Sollte ich Euch irgendwie behilflich sein können, lasst es mich bitte wissen, denn uns verbindet fortan das starke Band der Freundschaft.\n\nHochachtungsvoll,\n[From.GetTitledName];;Para [GetFromRootCompliment] [Root.GetFirstName],\n\n ¡Debes saber que nunca olvidaré lo que hiciste por mí! No dudes en preguntar si hay algo que pueda hacer por ti, y que te trataré como el más querido de mis amigos. \n\nSinceramente,\n[From.GetTitledName];;;;;;;;;x
EVTDESC_ZE_22650;To [Root.GetTitledFirstName],\n\nKnow that I asked out of curiosity and not malice, but even so I apologize for what I did.\nSincerely,\n\n[From.GetTitledName];[Root.GetTitledFirstName],\n\nSachez que j'ai posé la question par curiosité et non par malice, mais veuillez néanmoins m'excuser pour mon involontaire impudence.\nCordialement,\n\n[From.GetTitledName];[Root.GetTitledFirstName],\nIhr solltet wissen, dass Neugier und nicht Boshaftigkeit hinter meiner Bitte standen. Dennoch möchte ich mich für mein Handeln entschuldigen.\n\nHochachtungsvoll,\n[From.GetTitledName];;Para [Root.GetTitledFirstName],\n\nSé que pregunté por curiosidad y no malicia, pero aún así te pido disculpas por lo que hice.\nSinceramente,\n\n[From.GetTitledName];;;;;;;;;x
